,movie_id,primary_title,original_title,start_year,runtime_minutes,genres,averagerating,numvotes,title,studio,domestic_gross_x,foreign_gross,year,id,release_date,movie,production_budget,domestic_gross_y,worldwide_gross
121513,tt7326798,Sisters,Sisters,2018,,Comedy,,,Sisters,Uni.,87000000.0,18000000,2015.0,57.0,"Dec 18, 2015",Sisters,"$30,000,000","$87,044,645","$106,030,660"
121607,tt7334528,Uncle Drew,Uncle Drew,2018,103.0,"Comedy,Sport",5.7,9739.0,Uncle Drew,LG/S,42500000.0,4200000,2018.0,85.0,"Jun 29, 2018",Uncle Drew,"$18,000,000","$42,469,946","$46,527,161"
121758,tt7349662,BlacKkKlansman,BlacKkKlansman,2018,135.0,"Biography,Crime,Drama",7.5,149005.0,BlacKkKlansman,Focus,49300000.0,44000000,2018.0,21.0,"Aug 10, 2018",BlacKkKlansman,"$15,000,000","$49,275,340","$93,017,335"
122234,tt7388562,"Paul, Apostle of Christ","Paul, Apostle of Christ",2018,108.0,"Adventure,Biography,Drama",6.7,5662.0,"Paul, Apostle of Christ",Affirm,17600000.0,5500000,2018.0,95.0,"Mar 23, 2018","Paul, Apostle of Christ","$5,000,000","$17,547,999","$25,529,498"
122456,tt7401588,Instant Family,Instant Family,2018,118.0,"Comedy,Drama",7.4,46728.0,Instant Family,Par.,67400000.0,53200000,2018.0,20.0,"Nov 16, 2018",Instant Family,"$48,000,000","$67,363,237","$119,736,188"
122907,tt7442358,Devil,Akuma,2018,89.0,Drama,,,Devil,Uni.,33600000.0,29100000,2010.0,71.0,"Sep 17, 2010",Devil,"$10,000,000","$33,679,655","$63,354,114"
123032,tt7456310,Anna,Anna,2019,,"Action,Thriller",,,Anna,VE,4300.0,,2014.0,64.0,"Jun 6, 2014",Anna,"$4,357,373",$0,"$1,200,000"
123041,tt7456902,Super,Super,2016,92.0,Adventure,,,Super,IFC,328000.0,,2011.0,34.0,"Apr 1, 2011",Super,"$2,500,000","$327,716","$593,933"
123426,tt7489744,Sinister,Sinister,2017,,Drama,,,Sinister,LG/S,48100000.0,29600000,2012.0,69.0,"Oct 12, 2012",Sinister,"$3,000,000","$48,086,903","$87,727,807"
123503,tt7496196,Hugo,Hugo,2017,80.0,Documentary,7.9,11.0,Hugo,Par.,73900000.0,111900000,2011.0,89.0,"Nov 23, 2011",Hugo,"$180,000,000","$73,864,507","$180,047,784"
123715,tt7514806,Mama,Mama,2017,89.0,Documentary,,,Mama,Uni.,71600000.0,74800000,2013.0,9.0,"Jan 18, 2013",Mama,"$15,000,000","$71,628,180","$148,095,566"
123769,tt7520136,The Conspirator,The Conspirator,2012,,Comedy,,,The Conspirator,RAtt.,11500000.0,3900000,2011.0,80.0,"Apr 15, 2011",The Conspirator,"$25,000,000","$11,538,204","$15,907,411"
124064,tt7535780,The Great Wall,The Great Wall,2017,72.0,Documentary,6.5,24.0,The Great Wall,Uni.,45500000.0,289400000,2017.0,92.0,"Feb 17, 2017",The Great Wall,"$150,000,000","$45,157,105","$334,486,852"
124611,tt7578246,The Wall,The Wall,2017,,Documentary,,,The Wall,RAtt.,1800000.0,2700000,2017.0,29.0,"May 12, 2017",The Wall,"$3,000,000","$1,803,064","$4,495,262"
124793,tt7592248,Melancholia,Melancholia,2018,,Documentary,,,Melancholia,Magn.,3000000.0,12900000,2011.0,62.0,"Nov 11, 2011",Melancholia,"$9,400,000","$3,030,848","$21,817,298"
125307,tt7632298,Anonymous,Anonymous,2017,60.0,"Action,Comedy,Mystery",,,Anonymous,Sony,4500000.0,10900000,2011.0,90.0,"Oct 28, 2011",Anonymous,"$27,500,000","$4,463,292","$15,815,509"
